,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
39,39,Taiwan,皇庭咖啡莊園,202203,yes,non,宸嶧國際有限公司,850,"Caoling , Gukeng Township, Yunlin County",陳榮豐,20,1 kg,Blossom Valley International宸嶧國際,2017 / 2018,"October 24th, 2022",CHEN RONG FENG,Gesha,Completed,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.17,10.3,0,0,bluish-green,0,"October 24th, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
40,40,Taiwan,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,2022/01,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,,Taiwan Coffee Laboratory,300-500,秀林鄉Show Linxia Township,李志祥 Li Zhi-xia,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,0.0,85.08,10,0,0,brownish,0,"December 12th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
41,41,Taiwan,八一高地,屏東縣三地門鄉德文段,乾燥機、脫殼機,,茂泰生技股份有限公司,1000,台灣屏東,陳科翰,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022",Ethan Lee 李宗儒,Typica,Completed,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.08,10.5,0,0,greenish,0,"December 30th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
42,42,Taiwan,香夾蘭莊園,A26-Northern Taiwan Specialty Coffee Evaluation,香夾蘭莊園,,Taiwu Coffee Cooperative,800,苗栗縣,黃簡秋蘭,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,Gesha,Completed,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.08,10,0,0,pale yellow,5,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
43,43,Uganda,Gideon Kule,7938,Dry Mill,11/35,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi coffee limited,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"June 29th, 2022",KYAGALANYI COFFEE LIMITED,SL14,Completed,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.0,11,0,0,green,1,"June 29th, 2023",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Brenda Kamara Kemigisha Mangeni - 256773040119
44,44,Taiwan,愛姬咖啡莊園iGfarm,2021/01,愛姬咖啡莊園iGfarm,,Taiwan Coffee Laboratory,150,壽豐鄉Shoufeng Township,劉孟宗 LIU MENG TSUNG,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 12th, 2022",Liu Meng Tsung劉孟宗,Typica,Completed,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.9,0,0,green,0,"December 12th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
45,45,Taiwan,青山坪咖啡農場,"The 2022 Pacific Rim Coffee Summit,T011",青山坪咖啡農場,,Taiwan Coffee Laboratory,800,Yunlin,王清連,6,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.1,0,0,yellow green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
46,46,Guatemala,varias fincas,11/15/118,Beneficio Pastores,11/15/118,"Peter Schoenfeld, S.A.",1600,Antigua,Varios productores,600,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 17th, 2023",Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.0,9.9,0,1,green,1,"April 16th, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
47,47,Guatemala,PEÑA BLANCA,11/951/279,BENEFICIO LAS AMERICAS,11/951/279,"OLAM AGRO GUATEMALA, S.A.",4700,Santa Rosa,PABLO CHUY,632,30 kg,Asociacion Nacional Del Café,2022 / 2023,"February 23rd, 2023",Yesica Alejandra Martìnez Vàsquez,Catuai,Completed,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11.3,0,0,green,4,"February 23rd, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
48,48,Guatemala,san francisco cotzal,11/441/50,"inmobiliaria e inversiones dos mil, s.a.",11/441/50,"inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"June 22nd, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.92,11.7,0,3,green,1,"June 22nd, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
49,49,Taiwan,六曲窩,A03-Northern Taiwan Specialty Coffee Evaluation,六曲窩,,Taiwu Coffee Cooperative,350-400,新竹縣,黃俊淦,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.92,9.5,0,0,green,2,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
50,50,Taiwan,北平山林,A23-Northern Taiwan Specialty Coffee Evaluation,北平山林,,Taiwu Coffee Cooperative,230,新竹縣,戴禎男,1,4 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,Yellow Bourbon,Completed,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.83,9.7,0,0,brownish,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
51,51,Indonesia,PT Indo CafCo North Sumatera,016/1513/262,PT Indo CafCo,,InterAmerican Coffee,1200,Aceh Tengah,PT Indo CafCo North Sumatera,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"September 23rd, 2022",Charles Umeano,Catimor,Completed,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.9,0,3,bluish-green,2,"September 23rd, 2023",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81
52,52,Peru,Ruya Yayu Farm,"The 2022 Pacific Rim Coffee Summit,PE02",no.,,Taiwan Coffee Laboratory,1750,Villa Rica,Ruya Yayu,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.83,10.7,0,0,greenish,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
53,53,"Tanzania, United Republic Of",IYENGA,S59588/P03989,CITY COFFEE LTD,0033/0004,VOLCAFE/TaylorWinch Tanzania Ltd,1654,Mbeya,IYENGA AMCOS,620,30 kg,Kenya Coffee Traders Association,2022 / 2023,"November 9th, 2022",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.2,0,0,greenish,0,"November 9th, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
54,54,Taiwan,優遊吧斯瑪翡咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T029",優遊吧斯瑪翡咖啡莊園,,Taiwan Coffee Laboratory,1300,Chiayi,鄭虞坪,1,25 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,0.0,84.83,9.5,0,0,greenish,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
55,55,Taiwan,森悅高峰咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T039",森悅高峰咖啡莊園,,Taiwan Coffee Laboratory,1400,Nantou,吳振宏,1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.75,10.4,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
56,56,Brazil,Fazenda Guariroba,FBT111,Wet-Hulling,002-1894-0006,Mirai Seeds Corp.,1100,Campo das Vertentes,Homero Paiva,5,36 kg,Japan Coffee Exchange,2022,"February 13th, 2023",Marcelo Itoh,Yellow Bourbon,Completed,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2,0,1,green,5,"February 13th, 2024",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
57,57,Panama,La Santa,2-237-05,La Santa,2-237-05,Panamerican Coffee Trading,1200,Boquete,La Santa,200,30 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 26th, 2023",Rodrigo Soto,Catuai,Completed,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.75,10.3,0,1,bluish-green,5,"April 25th, 2024",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
58,58,Taiwan,嵐雲綠海咖啡,屏東縣瑪家鄉,乾燥機、脫殼機,,茂泰生技股份有限公司,1200,台灣屏東,卓榮華,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022",Ethan Lee 李宗儒,Yellow Bourbon,Completed,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.75,10,0,0,blue-green,0,"December 30th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
59,59,Guatemala,Varias Fincas,11/15/117,Varios Beneficios,11/15/117,"Peter Schoenfeld, S.A.",1600,Huehuetenango,Varios Productores,600,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 28th, 2023",Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.92,0.0,84.67,10.6,0,0,green,1,"April 27th, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
60,60,Guatemala,SAN RAFAEL URIAS VALDES,11/54876/03,ECO COFFEE,11/54876/03,"VALBROS, S. A.",4895,ANTIGUA GUATEMALA,"VALBROS, S. A.",66,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Completed,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.67,10.9,0,3,yellow-green,2,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
61,61,Costa Rica,Gamboa Farm,12075,Beneficio Montañas del Diamante,5-0025-0131,CECA S.A.,1850,Tarrazu,Martin Gutierrez,260,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,8.58,0.0,84.67,10,0,1,green,2,"April 18th, 2024",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
62,62,Taiwan,羅馬8號莊園,A11-Northern Taiwan Specialty Coffee Evaluation,羅馬8號莊園,,Taiwu Coffee Cooperative,200-300,新竹縣,羅政宏,1,16 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.58,9.6,0,0,greenish,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
63,63,Taiwan,大鋤花間(Dachu Coffee Estate),2022臺南市精品咖啡評鑑批次,大鋤花間(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700,"( Dongshan Dist., Tainan City)","郭雅聰（KUO,YA-TSUNG）",16,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"June 8th, 2022","KUO, YA-TSUNG",Gesha,Completed,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.58,11.5,0,0,green,0,"June 8th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
64,64,Nicaragua,Finca Las Dos Marias,10 1.1,"Compare Coperativo Condega, Esteli, Nicaragua",,NicaNoLA Coffee,1350,ESTELI,NicaNoLA Coffee,74,45 kg,Specialty Coffee Association,2021 / 2022,"June 9th, 2022",rene j alcebo,Catrenic,Completed,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,8.0,0.0,84.58,9.9,1,0,green,2,"June 9th, 2023",Specialty Coffee Association,*CURRENTLY NOT ACCEPTING SAMPLES**,Brit Amell (CQI) - bamell@coffeeinstitute.org -
65,65,Taiwan,雅慕伊咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T036",雅慕伊咖啡莊園,,Taiwan Coffee Laboratory,1250,Chiayi,浦瀚文,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Pu Han Wen,Gesha,Completed,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,11.2,0,0,green,2,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
66,66,Taiwan,名陽園,"The 2022 Pacific Rim Coffee Summit,T042",名陽園,,Taiwan Coffee Laboratory,1450,Chiayi,王政淵,1,104 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,10.3,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
67,67,Vietnam,CupnCare,"The 2022 Pacific Rim Coffee Summit,VN02",CupnCare,,Taiwan Coffee Laboratory,650,Quang Tri,TONG PHUC LAM TRADING SERVICES COMPANY LIMITED,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Catimor,Completed,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.92,0.0,84.58,11.6,0,0,brownish,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
68,68,Costa Rica,La Cumbre,CQU2022018,La Montana Tarrazu MIll,,Coffee Quality Union,1900,"Los Santos,Tarrazu",Santa Maria de Dota,1,22 kg,Japan Coffee Exchange,2022,"October 4th, 2022",Coffee Quality Union,Gesha,Completed,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.5,11.7,0,1,green,0,"October 4th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
69,69,Taiwan,苗55咖啡莊園,A37-Northern Taiwan Specialty Coffee Evaluation,苗55咖啡莊園,,Taiwu Coffee Cooperative,520,苗栗縣,李鴻儀,1,300 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,11.3,0,0,bluish-green,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
70,70,Honduras,La Cuchilla,36,Global Coffee,13-111-027,Mercon Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,340,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,9.8,0,0,green,3,"April 24th, 2024",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
71,71,Ethiopia,TRACON TRADING PLC,0712,5.2Ha,010/0148/0712,Tracon Trading PLC,1943,Ethiopia,TRACON TRADING PLC,584,30 kg,Blossom Valley International宸嶧國際,2021 / 2022,"August 23rd, 2022",李晓斐 LI XIAO FEI,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.5,10.9,0,0,green,9,"August 23rd, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
72,72,Taiwan,917農場 (917 Farm),2021/11,917農場 (917 Farm),,Taiwan Coffee Laboratory,400,玉里鎮Yuli Township,黃怡瑄 Huang Yi-xuan,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 12th, 2022",黃怡瑄,Typica,Completed,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,7.83,0.0,84.5,10.2,0,0,green,0,"December 12th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
73,73,Taiwan,皇庭咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T031",皇庭咖啡莊園,,Taiwan Coffee Laboratory,850,Yunlin,陳榮豐,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.42,10.1,0,0,bluish-green,1,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
74,74,Guatemala,Finca Alta Luz,11-63-657,,11-63-657,"Retrillas del pacifico, s.a.",1300-1400,Huehuetenango,Maria de los Angeles Perez,600,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 26th, 2023",Yesica Alejandra Martìnez Vàsquez,Bourbon,Completed,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.33,9.2,0,1,green,5,"April 25th, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
75,75,United States (Hawaii),Miranda's Farm,Islander’s Coffee for Pacific Rim Summit,Greenwell,,Taiwan Coffee Laboratory,1300,Ka'u district of Big Island,Jose & Berta Miranda,10,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 9th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Catuai,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,84.33,10.1,3,0,yellow-green,7,"November 9th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
76,76,Ethiopia,Bisrat Melaku Washing Station,0065,Washing Station,010/ 0218/0065,Tadesse Desta import export,2361,Addis Ababa,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"September 19th, 2022",Tadesse Desta,Ethiopian Heirlooms,Completed,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,7.75,0.0,84.33,11,0,5,yellow green,4,"September 19th, 2023",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
77,77,El Salvador,San Nicolas,"The 2022 Pacific Rim Coffee Summit,SV01",San Nicolas,,Taiwan Coffee Laboratory,1500,Chalatenango,various producers,20,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Pacamara,Completed,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.33,10.3,0,0,brownish,4,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
78,78,Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,,Sucafina NA,2100,Sierra Nevada de Santa Marta,Grupo Tap,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"May 11th, 2022",Sucafina Colombia SAS,Castillo and Colombia blend,Completed,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,0.0,84.33,11.6,0,0,green,1,"May 11th, 2023",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
79,79,Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",,Coffee Quality Union,1250-1350,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara","Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,"Jember,TIM-TIM,Ateng",Completed,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.5,0,1,blue-green,1,"September 21st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
